,road,county,city,state
7854,H Street,Fresno County,,California
7855,Haida Road,San Bernardino County,,California
7856,West 47th Place,Los Angeles County,Los Angeles,California
7857,Avenorra Drive,San Diego County,,California
7858,2nd Street,Kern County,,California
7859,,Humboldt County,,California
7860,,San Diego County,San Diego,California
7861,Adrian Road,San Mateo County,,California
7862,Ontario Avenue,Riverside County,Corona,California
7863,Rim of the World Drive,San Bernardino County,,California
7864,West Laurel Street,San Bernardino County,,California
7865,Dodson Street,Los Angeles County,El Monte,California
7866,Palo Alto Avenue,Santa Clara County,Mountain View,California
7867,Pluto Street,San Bernardino County,Highland,California
7868,Telegraph Road,Ventura County,Ventura,California
7869,Neptune Avenue,San Diego County,,California
7870,25th Street,San Diego County,San Diego,California
7871,Montana Avenue,Merced County,,California
7872,Sundance Avenue,San Diego County,San Diego,California
7873,West Crescent Avenue,Orange County,Anaheim,California
7874,North Doheny Drive,Los Angeles County,,California
7875,,Los Angeles County,Los Angeles,California
7876,York Boulevard,Los Angeles County,Los Angeles,California
7877,West 5th Street,Los Angeles County,Los Angeles,California
7878,La Riviera Drive,Sacramento County,Sacramento,California
7879,Jacob Dekema Freeway,San Diego County,San Diego,California
7880,Barbacoa Drive,Los Angeles County,Santa Clarita,California
7881,24th Avenue,Sacramento County,Sacramento,California
7882,Olinda Oil Museum Obervation Path,Orange County,,California
7883,Schabarum Trail,Los Angeles County,El Monte,California
7884,Florio Street,Alameda County,Oakland,California
7885,South San Antonio Road,Santa Barbara County,,California
7886,,Mendocino County,,California
7887,McNeill Circle,Yolo County,,California
7888,Brink Avenue,Los Angeles County,Norwalk,California
7889,Heyer Street,Los Angeles County,Lancaster,California
7890,Pruneridge Avenue,Santa Clara County,Santa Clara,California
7891,Lockford Street,Los Angeles County,Los Angeles,California
7892,Barca Lane,Sacramento County,,California
7893,Miwok Trail,Marin County,,California
7894,Hawley Boulevard,San Diego County,San Diego,California
7895,Lugo Avenue,Los Angeles County,,California
7896,Gower Street,Los Angeles County,Los Angeles,California
7897,Alameda Street,Los Angeles County,,California
7898,2nd Avenue,San Mateo County,,California
7899,East Erie Street,Los Angeles County,Long Beach,California
7900,Halyard Drive,Sonoma County,Santa Rosa,California
7901,Hidden Trails Loop,San Bernardino County,,California
7902,Milpas Lane,Stanislaus County,Modesto,California
7903,Park Avenue,San Joaquin County,Manteca,California
7904,North Bartlett Avenue,Los Angeles County,,California
7905,Chapman Avenue,Orange County,Garden Grove,California
7906,Petaluma Avenue,Los Angeles County,,California
7907,Black Hill Trail,San Luis Obispo County,Morro Bay,California
7908,Martin Canyon Creek Trail,Alameda County,,California
7909,Elk Grove Boulevard,Sacramento County,Elk Grove,California
7910,Florida Street,,San Francisco,California
7911,Crystal Falls Drive,Tuolumne County,,California
7912,Milton Avenue,Los Angeles County,,California
7913,Harper Avenue,Tulare County,,California
7914,Cerrito Avenue,San Mateo County,Redwood City,California
7915,Younglove Avenue,Santa Cruz County,Santa Cruz,California
7916,Manor Lane,San Joaquin County,,California
7917,Grafton Avenue,,San Francisco,California
7918,West Upland Avenue,Los Angeles County,Los Angeles,California
7919,20th Street,,San Francisco,California
7920,,Sacramento County,Elk Grove,California
7921,East Rose Avenue,Fresno County,,California
7922,Hanover Street,,San Francisco,California
7923,Pulgas Avenue,San Mateo County,East Palo Alto,California
7924,East Yale Avenue,Fresno County,Fresno,California
7925,Phoenix Place,Los Angeles County,Los Angeles,California
7926,Spring Hill Road,El Dorado County,,California
7927,Poso Court,Kern County,Bakersfield,California
7928,I-110 Metro ExpressLanes,Los Angeles County,Los Angeles,California
7929,Opera Alley,Sacramento County,Sacramento,California
7930,Cayuga Street,Santa Cruz County,Santa Cruz,California
7931,South Burnside Avenue,Los Angeles County,Los Angeles,California
7932,South Sloan Avenue,Los Angeles County,,California
7933,El Norte Avenue,Los Angeles County,,California
7934,,Inyo County,,California
7935,Leith Avenue,Santa Clara County,Santa Clara,California
7936,Peeples Street,Humboldt County,,California
7937,South Street,Los Angeles County,,California
7938,Mountain View Road,Santa Barbara County,Santa Barbara,California
7939,Clover Drive,Lake County,,California
7940,Vale Terrace Drive,San Diego County,Vista,California
7941,,Butte County,,California
7942,West Los Olivos Street,Santa Barbara County,Santa Barbara,California
7943,South Berkeley Avenue,Los Angeles County,,California
7944,Beach Boulevard,Orange County,Huntington Beach,California
7945,Kraft Avenue,Los Angeles County,Los Angeles,California
7946,Little Mountain Drive,San Bernardino County,San Bernardino,California
7947,West 115th Street,Los Angeles County,,California
7948,North Imperial Avenue,Imperial County,El Centro,California
7949,Mission Boulevard,Alameda County,Fremont,California
7950,County Line Avenue,Tulare County,,California
7951,East Coral Avenue,Orange County,Orange,California
7952,Pine Flat Road,Santa Cruz County,,California
7953,Coast Street,Orange County,Garden Grove,California
7954,Northstar Drive,San Joaquin County,Stockton,California
7955,16th Street,San Diego County,San Diego,California
7956,I 10,San Bernardino County,,California
7957,El Dorado Avenue,Los Angeles County,Los Angeles,California
7958,Tradewinds Drive,Ventura County,Oxnard,California
7959,Norris Avenue,Sacramento County,,California
7960,Blossom Valley Drive,Santa Clara County,,California
7961,Tamarack Avenue,Los Angeles County,Los Angeles,California
7962,Park Boulevard,Alameda County,Oakland,California
7963,West Main Street,San Joaquin County,,California
7964,Louisiana Street,San Diego County,San Diego,California
7965,Millcreek Drive,Sacramento County,Sacramento,California
7966,Vineland Avenue,Los Angeles County,Baldwin Park,California
7967,Glen Alpine Road,Alameda County,,California
7968,Santa Rosa Avenue,Los Angeles County,Pasadena,California
7969,North A Street,Tulare County,,California
7970,Las Palmas Drive,Santa Clara County,Santa Clara,California
7971,Roscoe Boulevard,Los Angeles County,Los Angeles,California
7972,West Washington Boulevard,Los Angeles County,Los Angeles,California
7973,Randwick Avenue,Alameda County,Oakland,California
7974,Rice Canyon Road,Lassen County,,California
7975,Long Beach Boulevard,Los Angeles County,Long Beach,California
7976,West Andrews Avenue,Fresno County,Fresno,California
7977,Coleford Street,Orange County,,California
7978,South Nutwood Street,Orange County,Anaheim,California
7979,South Belden Street,San Bernardino County,San Bernardino,California
7980,West 18th Street,Orange County,Costa Mesa,California
7981,Cherry Street,Orange County,,California
7982,Allison Rch Road,San Bernardino County,,California
7983,Seacliff Avenue,,San Francisco,California
7984,Ohio Avenue,Los Angeles County,Long Beach,California
7985,Cordova Drive,Orange County,,California
7986,Walsh Avenue,Glenn County,,California
7987,C Street,Sonoma County,Petaluma,California
7988,Willow Way,San Mateo County,,California
7989,Huron Avenue,Los Angeles County,,California
7990,Folsom Boulevard,Sacramento County,Sacramento,California
7991,Butler Avenue,Los Angeles County,Los Angeles,California
7992,Jasper Street,San Bernardino County,Rancho Cucamonga,California
7993,Mesa Drive,San Diego County,Oceanside,California
7994,Alondra Boulevard,Los Angeles County,,California
7995,Brunner Street,San Diego County,San Diego,California
7996,Valencia Gallop Trail,Orange County,,California
7997,Encinitas Boulevard,San Diego County,,California
7998,La Cienega Boulevard,Los Angeles County,Inglewood,California
7999,La Veta Street,San Bernardino County,San Bernardino,California
8000,,Tuolumne County,,California
8001,Harvard Avenue,Orange County,Irvine,California
8002,Light Street,Los Angeles County,,California
8003,Via Corrizo,Orange County,,California
8004,East 106th Street,Los Angeles County,Los Angeles,California
8005,East 95th Street,Los Angeles County,Los Angeles,California
8006,East 8th Street,San Joaquin County,Stockton,California
8007,Needles Freeway,San Bernardino County,,California
8008,5th Street,Riverside County,Riverside,California
8009,East Pleasant Valley Road,Ventura County,,California
8010,Sharon Road,Los Angeles County,,California
8011,Amigos Court,Santa Clara County,,California
8012,Shay Lane,Butte County,,California
8013,West Posey Street,Orange County,Santa Ana,California
8014,West Ballina Court,Ventura County,Thousand Oaks,California
8015,Stevens Circle,Los Angeles County,,California
8016,Polk Avenue,Orange County,Cypress,California
8017,West 35th Street,Los Angeles County,Long Beach,California
8018,Kemper Road,Stanislaus County,,California
8019,Burgundy South,Napa County,,California
8020,,San Luis Obispo County,Morro Bay,California
8021,209th Street,Los Angeles County,,California
8022,Broadway,San Diego County,Chula Vista,California
8023,Beeler Road,Riverside County,,California
8024,,Santa Barbara County,,California
8025,Tennessee Street,Solano County,Vallejo,California
8026,,Humboldt County,,California
8027,Willow Avenue,Contra Costa County,,California
8028,North Cloud Crest Circle,Orange County,Anaheim,California
8029,Yolanda Avenue,Los Angeles County,Los Angeles,California
8030,Boulder Loop Trail,San Diego County,Escondido,California
8031,Freeman Avenue,Los Angeles County,,California
8032,West Porter Avenue,Orange County,,California
8033,Guadalupe Parkway,Santa Clara County,San Jose,California
8034,Alameda de las Pulgas,San Mateo County,San Mateo,California
8035,Avenida Maria,Riverside County,,California
8036,Columbus Avenue,,San Francisco,California
8037,North Workman Street,Los Angeles County,,California
8038,Templeton Street,Los Angeles County,,California
8039,Abraham Avenue,Riverside County,Riverside,California
8040,South Indian Canyon Road,San Diego County,,California
8041,West 64th Place,Los Angeles County,Inglewood,California
8042,Central Avenue,San Diego County,,California
8043,Avenida Amapola,Orange County,,California
8044,Harwood Street,San Diego County,San Diego,California
8045,,San Diego County,,California
8046,East George Street,Riverside County,Banning,California
8047,Market Street,Alameda County,Oakland,California
8048,Camulos Avenue,Los Angeles County,Glendale,California
8049,Lewis Avenue,Los Angeles County,,California
8050,Paseo del Cajon,Alameda County,,California
8051,,Los Angeles County,,California
8052,Leonards trail,Contra Costa County,Richmond,California
8053,2nd Street,Los Angeles County,,California
8054,Donner Avenue,Fresno County,,California
8055,South Barcelona Street,San Diego County,,California
8056,M Street,Placer County,Lincoln,California
8057,New Airport Road,Placer County,,California
8058,Seminary Drive,San Mateo County,,California
8059,Central Expressway,Santa Clara County,Mountain View,California
8060,Alhambra Way,Contra Costa County,,California
8061,Westbrook Lane,Los Angeles County,Pomona,California
8062,West 23rd Street,Los Angeles County,Los Angeles,California
8063,Smith Avenue,Los Angeles County,,California
8064,Marshall Lane,Orange County,,California
8065,Sylvania Lane,Los Angeles County,,California
8066,Olivewood Avenue,Riverside County,Riverside,California
8067,Parkman Street,Los Angeles County,,California
8068,Scholar Way,Merced County,,California
8069,O Street,Fresno County,Huron,California
8070,McCray Street,Kern County,,California
8071,,San Joaquin County,,California
8072,East Pine Avenue,Santa Barbara County,,California
8073,,Los Angeles County,,California
8074,Miner Road,San Diego County,,California
8075,Oakhaven Road,Placer County,,California
8076,Hartford Avenue,Kern County,Bakersfield,California
